"","ID","ADM0_NAME","ADM0_CODE","Admin1","ADM1_CODE","ADM2_NAME","ADM2_CODE","year","age_group_id","age_group_name","sex_id","sex","measure_id","measure","mean","lower","upper"
"244","Nigeria_Gusau","Nigeria",164,"Zamfara",37164,"Gusau",7037164,2017,28,"Infant",3,"Both",27,"Probability of death",0.089,0.071613853852844,0.109436786443817
"245","Democratic Republic of the Congo_Pweto","Democratic Republic of the Congo",47,"Haut-Katanga",3047,"Pweto",8003047,2017,28,"Infant",3,"Both",27,"Probability of death",0.083,0.0616049355421116,0.11216802457263
"246","Nigeria_Gamjuwa","Nigeria",164,"Bauchi",5164,"Gamjuwa",8005164,2017,28,"Infant",3,"Both",27,"Probability of death",0.081,0.0647302438670606,0.0986368379372896
"247","Democratic Republic of the Congo_Mahagi","Democratic Republic of the Congo",47,"Ituri",6047,"Mahagi",8006047,2017,28,"Infant",3,"Both",27,"Probability of death",0.078,0.0555023595350028,0.103445290358606
"248","Mali_Youwarou","Mali",146,"Mopti",6146,"Youwarou",8006146,2017,28,"Infant",3,"Both",27,"Probability of death",0.075,0.0573124643975349,0.0980320855655871
"249","Nigeria_Garki","Nigeria",164,"Jigawa",18164,"Garki",8018164,2017,28,"Infant",3,"Both",27,"Probability of death",0.101,0.079187012680061,0.122964571062262
"250","Nigeria_Dambatta","Nigeria",164,"Kano",20164,"Dambatta",8020164,2017,28,"Infant",3,"Both",27,"Probability of death",0.09,0.071249322379236,0.109499791249308
"251","Nigeria_Danja","Nigeria",164,"Katsina",21164,"Danja",8021164,2017,28,"Infant",3,"Both",27,"Probability of death",0.082,0.0654312749849143,0.101109310321221
"252","Nigeria_Dandi","Nigeria",164,"Kebbi",22164,"Dandi",8022164,2017,28,"Infant",3,"Both",27,"Probability of death",0.075,0.0581673215072689,0.0911750839013076
"253","Nigeria_Kaura-Na","Nigeria",164,"Zamfara",37164,"Kaura-Na",8037164,2017,28,"Infant",3,"Both",27,"Probability of death",0.092,0.073820566996298,0.115243280617395
"254","Nigeria_Giade","Nigeria",164,"Bauchi",5164,"Giade",9005164,2017,28,"Infant",3,"Both",27,"Probability of death",0.078,0.06069070213587,0.0961922398050725
"255","Democratic Republic of the Congo_Mahagi (ville)","Democratic Republic of the Congo",47,"Ituri",6047,"Mahagi (ville)",9006047,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0526071490059106,0.0954547792054848
